"customer_id","customer_firstname","customer_lastname","customer_address1","customer_address2","customer_city","customer_state","customer_zip","customer_country","customer_region","customer_email","customer_phone","customer_creditcardtype","customer_creditcard","customer_creditcardexpiration","customer_username","customer_password","customer_age","customer_income","customer_gender","order_id","order_date","order_customerid","order_netamount","order_tax","order_totalamount","orderline_id","orderline_prod_id","orderline_quantity","orderline_orderdate","product_id","product_category","product_title","product_actor","product_price","product_special","product_common_prod_id"
11,Becky,Cochran,"193 Hailey Views
Michaelside, AS 48241",,East Charleneshire,Pennsylvania,53868,US,1,beckycochran@yahoo.com,"2415449050",5,"6630987872369588","2010/03",beckycochran123,password,58,60000,M,1187,2004-02-23,11,285.39,23.54,308.93,2,6923,3,2004-02-23,6923,3,AIRPLANE UNFAITHFUL,BURT MOSTEL,11.99,0,1196
11,Becky,Cochran,"193 Hailey Views
Michaelside, AS 48241",,East Charleneshire,Pennsylvania,53868,US,1,beckycochran@yahoo.com,"2415449050",5,"6630987872369588","2010/03",beckycochran123,password,58,60000,M,1187,2004-02-23,11,285.39,23.54,308.93,3,8208,1,2004-02-23,8208,13,ALABAMA DARES,WARREN TEMPLE,16.99,0,4804
11,Becky,Cochran,"193 Hailey Views
Michaelside, AS 48241",,East Charleneshire,Pennsylvania,53868,US,1,beckycochran@yahoo.com,"2415449050",5,"6630987872369588","2010/03",beckycochran123,password,58,60000,M,1187,2004-02-23,11,285.39,23.54,308.93,1,9212,2,2004-02-23,9212,4,ALADDIN DARN,GOLDIE FINNEY,12.99,0,3482
13,Melanie,Wade,"514 Tonya Heights Suite 730
South Davidfurt, FM 26545",,Port Jessica,Delaware,53356,US,1,melaniewade@yahoo.com,"3029418206",5,"3617457962129265","2009/11",melaniewade123,password,43,100000,M,379,2004-01-14,13,227.45,18.76,246.21,2,1411,2,2004-01-14,1411,2,ACE HEAVENLY,ANNETTE HARRIS,21.99,0,788
13,Melanie,Wade,"514 Tonya Heights Suite 730
South Davidfurt, FM 26545",,Port Jessica,Delaware,53356,US,1,melaniewade@yahoo.com,"3029418206",5,"3617457962129265","2009/11",melaniewade123,password,43,100000,M,379,2004-01-14,13,227.45,18.76,246.21,1,9645,2,2004-01-14,9645,15,ALADDIN OTHERS,MORGAN GRANT,17.99,0,9409
32,Joyce,Rowe,"329 Joseph Mount Suite 393
Nunezfurt, KY 52975",,South Anthony,Missouri,17967,US,1,joycerowe@gmail.com,"1184575169",1,"9080948004499080","2012/01",joycerowe123,password,48,20000,F,589,2004-01-04,32,194.63,16.06,210.69,1,3499,3,2004-01-04,3499,9,AFFAIR KING,ANGELINA DIETRICH,13.99,0,6742
32,Joyce,Rowe,"329 Joseph Mount Suite 393
Nunezfurt, KY 52975",,South Anthony,Missouri,17967,US,1,joycerowe@gmail.com,"1184575169",1,"9080948004499080","2012/01",joycerowe123,password,48,20000,F,589,2004-01-04,32,194.63,16.06,210.69,2,6399,3,2004-01-04,6399,10,AIRPLANE HAPPINESS,JUDE LANCASTER,15.99,0,7431
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,3,2275,3,2004-01-11,2275,16,ADAPTATION EGYPT,NEVE SUVARI,16.99,0,3429
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,2,2791,2,2004-01-11,2791,14,ADAPTATION SHOW,MARLENE COOPER,18.99,0,9507
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,6,3237,2,2004-01-11,3237,10,AFFAIR DIVORCE,ALAN SMITH,25.99,0,760
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,1,3134,2,2004-01-11,3134,2,AFFAIR CHAMPION,SOPHIA WINSLET,26.99,0,1694
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,4,6548,3,2004-01-11,6548,7,AIRPLANE MAGNIFICENT,STEVE KIDMAN,13.99,0,8279
46,Carolyn,Williams,"317 Richard Fort Suite 257
North Colinview, FM 53231",,West Michaelberg,Montana,38220,US,1,carolynwilliams@gmail.com,"5928516639",5,"8143781044054777","2011/04",carolynwilliams123,password,75,60000,F,938,2004-01-11,46,135.17,11.15,146.32,5,9394,2,2004-01-11,9394,13,ALADDIN HAMLET,ELLEN FORD,27.99,0,3899
65,Lauren,White,"82641 Curtis Parks Suite 429
New Stephenburgh, GU 17837",,Kevinside,North Carolina,89266,US,1,laurenwhite@hotmail.com,"4563891355",5,"1298333559185266","2010/07",laurenwhite123,password,57,80000,F,16,2004-01-14,65,137.98,11.38,149.36,6,4140,3,2004-01-14,4140,4,AFRICAN CHEAPER,NICOLE RYAN,11.99,0,1264
65,Lauren,White,"82641 Curtis Parks Suite 429
New Stephenburgh, GU 17837",,Kevinside,North Carolina,89266,US,1,laurenwhite@hotmail.com,"4563891355",5,"1298333559185266","2010/07",laurenwhite123,password,57,80000,F,16,2004-01-14,65,137.98,11.38,149.36,3,4820,1,2004-01-14,4820,15,AFRICAN SONS,GROUCHO DUNST,28.99,0,5549
